id,stock_no,code,system,model,rating,status,serial_number,client,date_acquired,date_installed,dr_no,si_no,po,value_vat_ex,warranty,terms,remarks,created_at,category
258,187,UPS-KOT-1KVA/220V,KOTOHIRA SYSTEM,BH10S-V,1KVA,ON STOCK,BHVB2604S00111A006,,2026-05-26,,,,,,,,None,2026-06-04T15:46:07.899093,UPS
259,188,UPS-KOT-1KVA/220V,KOTOHIRA SYSTEM,BH10S-V,1KVA,ON STOCK,BHVB2604S00111A007,,2026-05-26,,,,,,,,None,2026-06-04T15:47:18.074105,UPS
260,189,UPS-KOT-1KVA/220V,KOTOHIRA SYSTEM,BH10S-V,1KVA,ON STOCK,BHVB2604S00111A008,,2026-05-26,,,,,,,,None,2026-06-04T15:49:00.527988,UPS
261,190,UPS-KOT-1KVA/220V,KOTOHIRA SYSTEM,BH10S-V,1KVA,ON STOCK,BHVB2604S00111A009,,2026-05-26,,,,,,,,None,2026-06-04T15:51:38.556756,UPS
262,191,UPS-KOT-1KVA/220V,KOTOHIRA SYSTEM,BH10S-V,1KVA,ON STOCK,BHVB2604S00111A010,,2026-05-26,,,,,,,,None,2026-06-04T15:52:55.832167,UPS
263,192,UPS-KOT-1KVA/220V,KOTOHIRA SYSTEM,BH10S-V,1KVA,ON STOCK,BHVB2604S00111A011,,2026-05-26,,,,,,,,,2026-06-04T15:53:53.627033,UPS
264,193,UPS-KOT-1KVA/220V,KOTOHIRA SYSTEM,BH10S-V,1KVA,ON STOCK,BHVB2604S00111A012,,2026-05-26,,,,,,,,None,2026-06-04T15:55:01.646966,UPS
265,194,UPS-KOT-1KVA/220V,KOTOHIRA SYSTEM,BH10S-V,1KVA,ON STOCK,BHVB2604S00111A013,,2026-05-26,,,,,,,,None,2026-06-04T15:55:56.840086,UPS
266,195,UPS-KOT-1KVA/220V,KOTOHIRA SYSTEM,BH10S-V,1KVA,ON STOCK,BHVB2604S00111A014,,2026-05-26,,,,,,,,None,2026-06-04T15:56:50.974712,UPS
267,196,UPS-KOT-1KVA/220V,KOTOHIRA SYSTEM,BH10S-V,1KVA,ON STOCK,BHVB2604S00111A015,,2026-05-26,,,,,,,,None,2026-06-04T15:57:44.970802,UPS
268,197,UPS-KOT-1KVA/220V,KOTOHIRA SYSTEM,BH10S-V,1KVA,ON STOCK,BHVB2604S00111A016,,2026-05-26,,,,,,,,None,2026-06-04T15:58:45.917194,UPS
269,198,UPS-KOT-1KVA/220V,KOTOHIRA SYSTEM,BH10S-V,1KVA,ON STOCK,BHVB2604S00111A017,,2026-05-26,,,,,,,,None,2026-06-04T15:59:28.492944,UPS
270,199,UPS-KOT-1KVA/220V,KOTOHIRA SYSTEM,BH10S-V,1KVA,ON STOCK,BHVB2604S00111A018,,2026-05-26,,,,,,,,None,2026-06-04T16:00:29.679153,UPS
271,200,UPS-KOT-1KVA/220V,KOTOHIRA SYSTEM,BH10S-V,1KVA,ON STOCK,BHVB2604S00111A019,,2026-05-26,,,,,,,,None,2026-06-04T16:01:34.966512,UPS
275,201,UPS-KOT-1KVA/220V,KOTOHIRA SYSTEM,BH10S-V,1KVA,ON STOCK,BHVB2604S00111A020,,2026-05-26,,,,,,,,,2026-06-05T03:40:37.510552,UPS
276,202,UPS-KOT-1KVA/220V,KOTOHIRA SYSTEM,BH10S-V,1KVA,ON STOCK,BHVB2604S00111A021,,2026-03-26,,,,,,,,,2026-06-05T03:43:04.079047,UPS
277,203,UPS-KOT-1KVA/220V,KOTOHIRA SYSTEM,BH10S-V,1KVA,ON STOCK,BHVB2604S00111A022,,2026-05-26,,,,,,,,,2026-06-05T03:43:54.872253,UPS
278,204,UPS-KOT-1KVA/220V,KOTOHIRA SYSTEM,BH10S-V,1KVA,ON STOCK,BHVB2604S00111A023,,2026-05-26,,,,,,,,,2026-06-05T03:44:40.334624,UPS
279,205,UPS-KOT-1KVA/220V,KOTOHIRA SYSTEM,BH10S-V,1KVA,ON STOCK,BHVB2604S00111A024,,2026-05-26,,,,,,,,,2026-06-05T03:45:40.726555,UPS
